GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,BundleFile,0,14,0,0,0,4,0,2,0,2
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,ContentPackageFile,21,0,0,0,3,0,1,0,1,0
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,YamlUtil,0,50,0,2,0,13,0,3,0,2
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,ModelParser,37,237,4,26,7,46,4,20,0,9
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,ParserUtil,18,51,3,7,3,17,3,5,0,3
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,ModelContentPackageFile,5,97,1,1,1,22,1,10,0,10
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.model,AbstractInstallableFile,19,34,1,1,3,10,2,5,1,5
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,HelpMojo,856,0,108,0,153,0,70,0,16,0
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,CloudManagerAllPackageMojo,88,301,7,23,15,71,7,19,0,11
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,AutoDependenciesMode,0,44,0,0,0,5,0,1,0,1
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,InstallPackagesMojo,352,0,32,0,75,0,21,0,5,0
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,ProxySupport,78,0,12,0,22,0,8,0,2,0
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,PackageTypeValidation,0,24,0,0,0,3,0,1,0,1
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,RunModeOptimization,0,24,0,0,0,3,0,1,0,1
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,CloudManagerDispatcherConfigMojo,26,211,4,18,4,43,4,13,0,6
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,AbstractContentPackageMojo,216,0,13,0,48,0,16,0,9,0
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven,AbstractCloudManagerMojo,44,97,14,12,4,25,12,9,0,8
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.allpackage,ContentPackageFileSet,13,15,0,0,1,6,1,3,1,3
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.allpackage,TemporaryContentPackageFile,31,50,2,0,8,12,3,5,2,5
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.allpackage,AllPackageBuilder,82,1222,8,125,9,247,10,106,2,47
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.allpackage,BundleFileSet,13,15,0,0,1,6,1,3,1,3
CONGA AEM Maven Plugin,io.wcm.devops.conga.plugins.aem.maven.allpackage,RunModeUtil,14,172,4,24,3,34,3,25,0,14
